check_type,check_type_description,check_name,check_name_description,check_tables,check_category,check_phase
pf,Person Records/Facts,pf_visits_prdrml,"all visits with procedures, drugs, and labs",visit_occurrence; procedure_occurrence; drug_exposure; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_visits_vp,all visits with visit_payer_id,visit_occurrence; visit_payer,Completeness,Phase I
pf,Person Records/Facts,pf_visits_im,all visits with immunizations,visit_occurrence; immunization,Completeness,Phase I
pf,Person Records/Facts,pf_visits_pv_spec,all visits with provider specialty,visit_occurrence; provider,Completeness,Phase I
pf,Person Records/Facts,pf_visits_cs_spec,all visits with care site specialty,visit_occurrence; care_site,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_pr,outpatient visits with procedures,visit_occurrence; procedure_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_co,outpatient visits with conditions,visit_occurrence; condition_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_dr,outpatient visits with drugs,visit_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_prdr,outpatient visits with procedures and drugs,visit_occurrence; procedure_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_ml,outpatient visits with labs,visit_occurrence; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_prdrml,"outpatient visits with procedures, drugs, and labs",visit_occurrence; procedure_occurrence; drug_exposure; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_vp,outpatient visits with visit_payer_id,visit_occurrence; visit_payer,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_im,outpatient visits with immunization,visit_occurrence; immunization,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_pv_spec,outpatient visits with provider specialty,visit_occurrence; provider,Completeness,Phase I
pf,Person Records/Facts,pf_opvisits_cs_spec,outpatient visits with care site specialty,visit_occurrence; care_site,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_pr,inpatient visits with procedures,visit_occurrence; procedure_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_co,inpatient visits with conditions,visit_occurrence; condition_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_dr,inpatient visits with drugs,visit_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_prdr,inpatient visits with procedures and drugs,visit_occurrence; procedure_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_ml,inpatient visits with labs,visit_occurrence; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_prdrml,"inpatient visits with procedures, drugs, and labs",visit_occurrence; procedure_occurrence; drug_exposure; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_icu,inpatient visits with ICU transfer,visit_occurrence; adt_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_vp,inpatient visits with visit_payer_id,visit_occurrence; visit_payer,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_im,inpatient visits with immunization,visit_occurrence; immunization,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_pv_spec,inpatient visits with provider specialty,visit_occurrence; provider,Completeness,Phase I
pf,Person Records/Facts,pf_ipvisits_cs_spec,inpatient visits with care site specialty,visit_occurrence; care_site,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_pr,ed visits with procedures,visit_occurrence; procedure_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_co,ed visits with conditions,visit_occurrence; condition_occurrence,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_dr,ed visits with drugs,visit_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_prdr,ed visits with procedures and drugs,visit_occurrence; procedure_occurrence; drug_exposure,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_ml,ed visits with labs,visit_occurrence; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_prdrml,"ed visits with procedures, drugs, and labs",visit_occurrence; procedure_occurrence; drug_exposure; measurement_labs,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_vp,ed visits with visit_payer_id,visit_occurrence; visit_payer,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_im,ed visits with immunization,visit_occurrence; immunization,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_pv_spec,ed visits with provider specialty,visit_occurrence; provider,Completeness,Phase I
pf,Person Records/Facts,pf_edvisits_cs_spec,ed visits with care site specialty,visit_occurrence; care_site,Completeness,Phase I
bmc,Best Mapped Concepts,bmc_rxnorm_di,rxnorm class for inpatient administrations,drug_exposure,Conformance,Phase I
bmc,Best Mapped Concepts,bmc_rxnorm_dp,rxnorm class for prescriptions,drug_exposure,Conformance,Phase I
mf_visitid,Missing Field: Visit ID,mf_visitid_coied,conditions excluding problem list,condition_occurrence,Conformance,Phase I
mf_visitid,Missing Field: Visit ID,mf_visitid_dr,all drugs,drug_exposure,Conformance,Phase I
mf_visitid,Missing Field: Visit ID,mf_visitid_dp,prescription or inpatient drugs,drug_exposure,Conformance,Phase I
mf_visitid,Missing Field: Visit ID,mf_visitid_pr,all procedures,procedure_occurrence,Conformance,Phase I
mf_visitid,Missing Field: Visit ID,mf_visitid_ml,all labs,measurement_labs,Conformance,Phase I
mf_visitid,Missing Field: Visit ID,mf_visitid_im,all immunizations,immunization,Conformance,Phase I
fot,Facts Over Time,fot_im,all immunizations,immunization,Consistency,Phase I
fot,Facts Over Time,fot_im_covid19,covid19 immunizations,immunization,Consistency,Phase I
fot,Facts Over Time,fot_pr_appendectomy,appendectomy procedures,procedure_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vi,all visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vo_office,outpatient visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vo_labs,outpatient lab visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vo_th,telehealth visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vo_oa,other ambulatory visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vip,inpatient 9201 visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vip_combined,ed to inpatient combined visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_vob,observation visits,visit_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_co,all conditions,condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_prvo,inpatient procedures,visit_occurrence; procedure_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_adt_picu,adt occurrence - picu,adt_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_adt_nicu,adt occurrence - nicu,adt_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_adt_cicu,adt occurrence - cicu,adt_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_dp,prescription drugs,drug_exposure,Consistency,Phase I
fot,Facts Over Time,fot_ip,inpatient administration drugs,drug_exposure,Consistency,Phase I
fot,Facts Over Time,fot_cop,outpatient conditions (primary and secondary),condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_ci,inpatient conditions (primary and secondary),condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_ced,emergency conditions (primary and secondary),condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_cop_cb,outpatient condition billing,condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_cop_cc,outpatient condition order,condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_ci_cc,inpatient condition order,condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_ci_cb,inpatient condition billing,condition_occurrence,Consistency,Phase I
fot,Facts Over Time,fot_voml,outpatient labs (9202),visit_occurrence; measurement_labs,Consistency,Phase I
fot,Facts Over Time,fot_vodi,outpatient med administrations,visit_occurrence; drug_exposure,Consistency,Phase I
fot,Facts Over Time,fot_vipdp,inpatient prescriptions,visit_occurrence; drug_exposure,Consistency,Phase I
fot,Facts Over Time,fot_ma_ht,height,measurement_anthro,Consistency,Phase I
fot,Facts Over Time,fot_ma_wt,weight,measurement_anthro,Consistency,Phase I
fot,Facts Over Time,fot_mv_sbp,systolic blood pressure,measurement_vitals,Consistency,Phase I
fot,Facts Over Time,fot_mv_dbp,diastolic blood pressure,measurement_vitals,Consistency,Phase I
dcon,Domain Concordance,dcon_pts_ckd-dx_htn-rx,patients with CKD diagnosis code (cohort 1) and antihypertensive medication (cohort 2),condition_occurrence; drug_exposure,Concordance,Phase I
dcon,Domain Concordance,dcon_ed_visits_conds,ED visits (cohort 1) with ED condition type headers (cohort 2),visit_occurrence; condition_occurrence,Concordance,Phase I
dcon,Domain Concordance,dcon_ip_visits_conds,IP visits (cohort 1) with IP condition type headers (cohort 2),visit_occurrence; condition_occurrence,Concordance,Phase I
